position,module
103.923_30.490,1
103.927_30.498,1
103.920_30.484,1
103.927_30.499,1
103.928_30.501,1
103.925_30.495,1
103.926_30.497,1
103.924_30.492,1
103.917_30.478,1
103.921_30.486,1
103.918_30.480,1
103.924_30.493,1
103.926_30.496,1
103.929_30.502,1
103.929_30.503,1
103.923_30.491,1
103.921_30.485,1
103.931_30.508,1
103.931_30.507,1
103.921_30.487,1
103.932_30.509,1
103.928_30.502,1
103.933_30.511,1
103.923_30.489,1
103.938_30.522,1
103.928_30.500,1
103.920_30.485,1
103.930_30.506,1
103.924_30.491,1
103.930_30.505,1
103.932_30.510,1
103.934_30.514,1
103.925_30.493,1
103.938_30.523,1
103.935_30.516,1
103.933_30.513,1
103.934_30.513,1
103.931_30.506,1
103.934_30.515,1
103.933_30.512,1
103.926_30.498,1
103.942_30.531,1
103.936_30.519,1
103.935_30.515,1
103.930_30.504,1
103.936_30.518,1
103.925_30.496,1
103.946_30.546,1
103.945_30.544,1
103.953_30.562,1
103.950_30.555,1
103.936_30.517,1
103.929_30.504,1
103.947_30.550,1
103.944_30.541,1
103.945_30.541,1
103.951_30.557,1
103.932_30.508,1
103.937_30.521,1
103.941_30.530,1
103.875_30.309,1
103.949_30.553,1
103.941_30.528,1
103.911_30.464,1
103.908_30.458,1
103.911_30.465,1
103.905_30.451,1
103.914_30.471,1
103.920_30.483,1
103.908_30.457,1
103.905_30.452,1
103.917_30.477,1
103.914_30.470,1
103.917_30.476,1
103.902_30.446,1
103.902_30.444,1
103.911_30.463,1
103.908_30.459,1
103.913_30.470,1
103.905_30.450,1
103.895_30.430,1
103.888_30.415,1
103.892_30.423,1
103.891_30.422,1
103.891_30.421,1
103.898_30.437,1
103.898_30.436,1
103.894_30.428,1
103.888_30.414,1
103.895_30.429,1
103.901_30.444,1
103.894_30.429,1
103.885_30.407,1
103.891_30.420,1
103.887_30.414,1
103.899_30.437,1
103.892_30.422,1
103.897_30.434,1
103.900_30.441,1
103.903_30.447,1
103.906_30.454,1
103.894_30.427,1
103.900_30.440,1
103.893_30.426,1
103.897_30.435,1
103.903_30.448,1
103.890_30.420,1
103.896_30.433,1
103.897_30.433,1
103.900_30.442,1
103.893_30.427,1
103.900_30.439,1
103.890_30.419,1
103.886_30.411,1
103.887_30.412,1
103.883_30.404,1
103.879_30.395,1
103.875_30.387,1
103.879_30.396,1
103.882_30.402,1
103.883_30.403,1
103.886_30.410,1
103.878_30.394,1
103.890_30.418,1
103.889_30.418,1
103.882_30.403,1
103.880_30.396,1
103.884_30.408,1
103.875_30.304,1
103.884_30.406,1
103.877_30.391,1
103.880_30.398,1
103.869_30.374,1
103.881_30.399,1
103.873_30.382,1
103.873_30.383,1
103.875_30.386,1
103.871_30.378,1
103.877_30.390,1
103.884_30.407,1
103.880_30.399,1
103.943_30.533,1
103.925_30.494,1
103.919_30.481,1
103.916_30.475,1
103.913_30.469,1
103.919_30.482,1
103.922_30.488,1
103.922_30.487,1
103.922_30.489,1
103.916_30.476,1
103.927_30.500,1
103.919_30.483,1
103.946_30.548,1
103.909_30.460,1
103.912_30.466,1
103.906_30.453,1
103.918_30.479,1
103.915_30.472,1
103.915_30.473,1
103.909_30.459,1
103.914_30.472,1
103.903_30.446,1
103.918_30.478,1
103.912_30.465,1
103.911_30.466,1
103.912_30.467,1
103.913_30.468,1
103.910_30.462,1
103.907_30.455,1
103.916_30.474,1
103.915_30.474,1
103.909_30.461,1
103.910_30.461,1
103.904_30.448,1
103.906_30.455,1
103.912_30.468,1
103.919_30.480,1
103.902_30.445,1
103.893_30.425,1
103.899_30.438,1
103.889_30.417,1
103.899_30.439,1
103.896_30.432,1
103.892_30.424,1
103.896_30.431,1
103.895_30.431,1
103.893_30.424,1
103.892_30.425,1
103.886_30.409,1
103.899_30.440,1
103.904_30.450,1
103.901_30.443,1
103.907_30.456,1
103.904_30.449,1
103.910_30.463,1
103.901_30.442,1
103.907_30.457,1
103.898_30.435,1
103.885_30.408,1
103.881_30.400,1
103.885_30.409,1
103.877_30.392,1
103.878_30.392,1
103.882_30.401,1
103.889_30.416,1
103.888_30.416,1
103.881_30.401,1
103.882_30.400,1
103.876_30.389,1
103.887_30.413,1
103.880_30.397,1
103.872_30.381,1
103.883_30.405,1
103.884_30.405,1
103.876_30.390,1
103.946_30.544,1
103.944_30.540,1
103.948_30.548,1
103.945_30.537,1
103.947_30.547,1
103.946_30.549,1
103.945_30.542,1
103.945_30.538,1
103.945_30.553,1
103.918_30.481,1
103.946_30.543,1
103.948_30.550,1
103.951_30.558,1
103.946_30.539,1
103.944_30.536,1
103.937_30.519,1
103.954_30.567,1
103.944_30.553,1
103.944_30.554,1
103.944_30.562,1
103.948_30.552,1
103.946_30.550,1
103.947_30.549,1
103.945_30.564,1
103.943_30.556,1
103.946_30.545,1
103.947_30.546,1
103.943_30.557,1
103.942_30.559,1
103.942_30.558,1
103.937_30.520,1
103.945_30.551,1
103.946_30.540,1
103.944_30.555,1
103.946_30.568,1
103.947_30.569,1
103.946_30.542,1
103.940_30.527,1
103.949_30.573,1
103.948_30.571,1
103.879_30.394,1
103.881_30.398,1
103.877_30.389,1
103.875_30.385,1
103.943_30.555,1
103.944_30.564,1
103.943_30.560,1
103.945_30.565,1
103.935_30.517,1
103.944_30.563,1
103.948_30.572,1
103.943_30.562,1
103.942_30.557,1
103.946_30.567,1
103.945_30.552,1
103.947_30.571,1
103.950_30.556,1
103.952_30.560,1
103.953_30.563,1
103.945_30.543,1
103.954_30.564,1
103.953_30.561,1
103.955_30.566,1
103.943_30.541,1
103.942_30.530,1
103.874_30.384,1
103.870_30.376,1
103.866_30.367,1
103.868_30.371,1
103.872_30.380,1
103.862_30.359,1
103.876_30.388,1
103.868_30.372,1
103.866_30.368,1
103.864_30.363,1
103.870_30.375,1
103.858_30.351,1
103.860_30.355,1
103.872_30.379,1
103.862_30.360,1
103.864_30.364,1
103.874_30.383,1
103.867_30.369,1
103.869_30.373,1
103.865_30.365,1
103.863_30.361,1
103.861_30.357,1
103.865_30.364,1
103.863_30.360,1
103.861_30.356,1
103.859_30.352,1
103.867_30.368,1
103.863_30.359,1
103.861_30.355,1
103.857_30.347,1
103.865_30.363,1
103.864_30.321,1
103.834_30.328,1
103.865_30.366,1
103.862_30.358,1
103.867_30.370,1
103.860_30.354,1
103.864_30.362,1
103.858_30.350,1
103.866_30.366,1
103.863_30.362,1
103.862_30.357,1
103.868_30.370,1
103.861_30.354,1
103.863_30.358,1
103.870_30.374,1
103.864_30.360,1
103.860_30.358,1
103.874_30.385,1
103.878_30.393,1
103.871_30.377,1
103.870_30.377,1
103.871_30.381,1
103.869_30.377,1
103.871_30.379,1
103.869_30.375,1
103.873_30.384,1
103.867_30.371,1
103.875_30.388,1
103.874_30.386,1
103.872_30.382,1
103.866_30.370,1
103.868_30.373,1
103.868_30.374,1
103.870_30.378,1
103.864_30.365,1
103.863_30.366,1
103.865_30.370,1
103.873_30.381,1
103.871_30.376,1
103.870_30.372,1
103.870_30.373,1
103.869_30.369,1
103.869_30.368,1
103.869_30.364,1
103.870_30.371,1
103.872_30.377,1
103.873_30.380,1
103.856_30.348,1
103.858_30.352,1
103.854_30.344,1
103.860_30.356,1
103.851_30.339,1
103.860_30.357,1
103.853_30.343,1
103.862_30.361,1
103.857_30.354,1
103.846_30.343,1
103.859_30.357,1
103.853_30.350,1
103.842_30.340,1
103.838_30.337,1
103.856_30.354,1
103.856_30.353,1
103.859_30.358,1
103.862_30.362,1
103.853_30.349,1
103.850_30.347,1
103.849_30.346,1
103.869_30.372,1
103.867_30.367,1
103.865_30.357,1
103.866_30.363,1
103.866_30.362,1
103.865_30.353,1
103.865_30.362,1
103.866_30.358,1
103.867_30.349,1
103.863_30.363,1
103.865_30.367,1
103.861_30.359,1
103.860_30.360,1
103.848_30.350,1
103.856_30.356,1
103.856_30.357,1
103.853_30.353,1
103.860_30.359,1
103.868_30.357,1
103.867_30.361,1
103.867_30.366,1
103.863_30.364,1
103.866_30.369,1
103.865_30.369,1
103.869_30.366,1
103.868_30.347,1
103.868_30.369,1
103.865_30.359,1
103.866_30.364,1
103.866_30.356,1
103.867_30.364,1
103.866_30.350,1
103.866_30.347,1
103.867_30.365,1
103.866_30.354,1
103.867_30.345,1
103.874_30.387,1
103.876_30.391,1
103.871_30.383,1
103.878_30.395,1
103.869_30.380,1
103.866_30.377,1
103.859_30.372,1
103.853_30.367,1
103.868_30.367,1
103.869_30.371,1
103.867_30.362,1
103.871_30.375,1
103.868_30.361,1
103.869_30.376,1
103.871_30.380,1
103.867_30.372,1
103.864_30.368,1
103.877_30.393,1
103.879_30.397,1
103.874_30.390,1
103.875_30.389,1
103.877_30.394,1
103.873_30.385,1
103.856_30.374,1
103.856_30.379,1
103.858_30.384,1
103.858_30.364,1
103.856_30.345,1
103.859_30.353,1
103.858_30.349,1
103.854_30.341,1
103.852_30.337,1
103.850_30.333,1
103.857_30.349,1
103.852_30.336,1
103.856_30.346,1
103.848_30.328,1
103.854_30.342,1
103.855_30.344,1
103.860_30.353,1
103.857_30.348,1
103.850_30.332,1
103.853_30.340,1
103.852_30.338,1
103.848_30.329,1
103.851_30.336,1
103.861_30.358,1
103.855_30.345,1
103.854_30.340,1
103.850_30.334,1
103.848_30.327,1
103.856_30.344,1
103.853_30.337,1
103.850_30.331,1
103.855_30.341,1
103.847_30.322,1
103.853_30.338,1
103.853_30.341,1
103.854_30.343,1
103.857_30.344,1
103.853_30.339,1
103.851_30.335,1
103.849_30.331,1
103.843_30.318,1
103.855_30.343,1
103.849_30.330,1
103.847_30.326,1
103.845_30.322,1
103.847_30.327,1
103.841_30.314,1
103.845_30.323,1
103.851_30.334,1
103.856_30.347,1
103.839_30.310,1
103.837_30.306,1
103.835_30.300,1
103.837_30.304,1
103.839_30.309,1
103.839_30.308,1
103.829_30.287,1
103.833_30.296,1
103.833_30.295,1
103.831_30.292,1
103.831_30.291,1
103.832_30.291,1
103.835_30.299,1
103.838_30.308,1
